序号	项目编号	项目名称	任务编号	任务名称	任务类型	优先级	负责人角色	状态	计划开始	计划结束	验收标准	备注
1	solo_23	青禾连锁咖啡门店	QHCF-001	核对早班开店灯箱与门头亮灯记录	门店开闭店	高	门店班长	待处理	2026-06-18	2026-06-18	开店检查表完成并上传现场照片	早班执行
2	solo_23	青禾连锁咖啡门店	QHCF-002	盘点冷藏牛奶批次与效期标签	库存盘点	中	库存专员	待处理	2026-06-18	2026-06-19	库存表与实物批次一致且无过期品	冷链重点
3	solo_23	青禾连锁咖啡门店	QHCF-003	补齐埃塞单品豆安全库存差额	原料补货	高	采购协调员	进行中	2026-06-18	2026-06-20	采购单已确认且到货数量满足三日销量	豆类补货
4	solo_23	青禾连锁咖啡门店	QHCF-004	抽检拿铁出杯温度与奶泡厚度	品控抽检	高	品控稽核	待处理	2026-06-19	2026-06-19	抽检记录不少于十杯且偏差项已复盘	核心品控
5	solo_23	青禾连锁咖啡门店	QHCF-005	调整周末高峰吧台双人排班	排班培训	中	区域店长	待处理	2026-06-19	2026-06-20	排班表发布并完成员工确认	周末高峰
6	solo_23	青禾连锁咖啡门店	QHCF-006	推送沉睡会员第二杯半价券	会员运营	中	会员运营	待处理	2026-06-20	2026-06-21	触达名单导出且券核销数据可追踪	促活任务
7	solo_23	青禾连锁咖啡门店	QHCF-007	复核午高峰外卖漏单投诉记录	外卖订单	高	门店班长	进行中	2026-06-20	2026-06-20	漏单原因分类完成并回复客户	平台联动
8	solo_23	青禾连锁咖啡门店	QHCF-008	清洁半自动咖啡机冲煮头密封圈	设备清洁	中	吧台师	待处理	2026-06-21	2026-06-21	清洁前后照片上传且水流测试正常	闭店后执行
9	solo_23	青禾连锁咖啡门店	QHCF-009	更新新品燕麦季桌面立牌陈列	活动陈列	低	陈列专员	待处理	2026-06-21	2026-06-22	所有桌牌按新版物料摆放并拍照归档	活动物料
10	solo_23	青禾连锁咖啡门店	QHCF-010	核对昨日现金收款与 POS 流水	财务对账	高	财务稽核	待处理	2026-06-22	2026-06-22	现金差异为零或差异说明已审批	日结核对
11	solo_23	青禾连锁咖啡门店	QHCF-011	确认夜班闭店冰柜温度留痕	门店开闭店	高	夜班值守	待处理	2026-06-22	2026-06-22	闭店温度照片与系统记录一致	冷藏安全
12	solo_23	青禾连锁咖啡门店	QHCF-012	复盘糖浆瓶余量与领用登记差异	库存盘点	中	库存专员	待处理	2026-06-23	2026-06-23	差异原因记录并完成库存调整	辅料盘点
13	solo_23	青禾连锁咖啡门店	QHCF-013	催收到店纸杯供应商补货回执	原料补货	中	采购协调员	进行中	2026-06-23	2026-06-24	供应商确认到货时间且缺口已标注	耗材管理
14	solo_23	青禾连锁咖啡门店	QHCF-014	检查冰美式萃取时间稳定性	品控抽检	高	品控稽核	待处理	2026-06-24	2026-06-24	连续五组萃取时间处于标准区间	吧台校准
15	solo_23	青禾连锁咖啡门店	QHCF-015	完成新人外卖打包流程带教	排班培训	中	培训负责人	待处理	2026-06-24	2026-06-25	新人通过打包检查清单并签字确认	新人训练
16	solo_23	青禾连锁咖啡门店	QHCF-016	统计本月会员生日券使用率	会员运营	低	会员运营	待处理	2026-06-25	2026-06-26	输出使用率报表并提出复购建议	数据跟进
17	solo_23	青禾连锁咖啡门店	QHCF-017	处理外卖平台差评截图归档	外卖订单	中	客服专员	待处理	2026-06-25	2026-06-25	差评已分类并完成首轮回复	口碑维护
18	solo_23	青禾连锁咖啡门店	QHCF-018	除垢热水机并记录滤芯状态	设备清洁	高	设备维护员	待处理	2026-06-26	2026-06-26	除垢记录完整且出水测试合格	设备保养
